branch,domain,value_head,seed,stage1,stage2,change,stage1_log,stage2_log
validation,tpp,off,534933607,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544540_Ev_tpp_tpp_orig_novh_c.1_s534933607_CD4P_src20523050_e0012.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720717_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20684875_e0092.txt
validation,tpp,off,923500475,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546075_Ev_tpp_tpp_orig_novh_c.1_s923500475_CD4P_src20523059_e0022.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720718_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20684876_e0032.txt
validation,tpp,off,1073581256,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541845_Ev_tpp_tpp_orig_novh_c.1_s1073581256_CD4P_src20523041_e0001.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720719_Ev_tpp_tpp_mcts_orig_novh_c.1_s1073581256_K0_P4TPPS2P_src20684877_e0028.txt
validation,tpp,off,1239739722,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544526_Ev_tpp_tpp_orig_novh_c.1_s1239739722_CD4P_src20523044_e0001.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720720_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20684878_e0062.txt
validation,tpp,off,1472491096,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541857_Ev_tpp_tpp_orig_novh_c.1_s1472491096_CD4P_src20523047_e0001.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720721_Ev_tpp_tpp_mcts_orig_novh_c.1_s1472491096_K0_P4TPPS2P_src20684879_e0002.txt
validation,tpp,off,1510771779,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544563_Ev_tpp_tpp_orig_novh_c.1_s1510771779_CD4P_src20523056_e0001.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720722_Ev_tpp_tpp_mcts_orig_novh_c.1_s1510771779_K0_P4TPPS2P_src20684880_e0018.txt
validation,tpp,off,1963100312,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544514_Ev_tpp_tpp_orig_novh_c.1_s1963100312_CD4P_src20523035_e0003.txt,/home/hersco/training_new_domains/2026-09-01/preserve4_tpp_stage2_policy_eval/20835062_Ev_tpp_tpp_mcts_orig_novh_c.1_s1963100312_K0_P4TPPS2P_TUNINGSEL_src20553944_e0001.txt
validation,tpp,off,1972442430,20.0,9.0,-11.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544566_Ev_tpp_tpp_orig_novh_c.1_s1972442430_CD4P_src20523062_e0015.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720723_Ev_tpp_tpp_mcts_orig_novh_c.1_s1972442430_K0_P4TPPS2P_src20684881_e0012.txt
validation,tpp,off,2011206605,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20542685_Ev_tpp_tpp_orig_novh_c.1_s2011206605_CD4P_src20523038_e0001.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_policy_eval/20594461_Ev_tpp_tpp_orig_novh_c.1_s2011206605_SR10CD4ATP_src20553951_e0000.txt
validation,tpp,off,2082152039,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544541_Ev_tpp_tpp_orig_novh_c.1_s2082152039_CD4P_src20523053_e0005.txt,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20689650_Ev_tpp_tpp_mcts_orig_novh_c.1_s2082152039_K0_P4TPPS2P_src20684882_e0000.txt
