domain,value_head,stage,epoch,mean,min,max,n
fo_counters,off,stage1,90,18.75,15.0,25.0,4
fo_counters,off,stage1,95,13.75,10.0,20.0,4
fo_counters,off,stage1,100,16.666666666666668,15.0,20.0,3
fo_counters,off,stage1,105,18.333333333333332,15.0,20.0,3
fo_counters,off,stage1,110,20.0,15.0,25.0,2
fo_counters,off,stage1,115,15.0,10.0,20.0,2
fo_counters,off,stage2,0,18.181818181818183,5.0,50.0,22
fo_counters,off,stage2,5,11.818181818181818,5.0,25.0,22
fo_counters,off,stage2,10,11.363636363636363,5.0,20.0,22
fo_counters,off,stage2,15,10.227272727272727,5.0,20.0,22
fo_counters,off,stage2,20,9.545454545454545,5.0,20.0,22
fo_counters,off,stage2,25,7.954545454545454,5.0,20.0,22
fo_counters,off,stage2,30,8.636363636363637,5.0,15.0,22
fo_counters,off,stage2,35,8.181818181818182,5.0,20.0,22
fo_counters,off,stage2,40,7.954545454545454,5.0,25.0,22
fo_counters,off,stage2,45,7.7272727272727275,5.0,20.0,22
fo_counters,off,stage2,50,8.181818181818182,5.0,15.0,22
fo_counters,off,stage2,55,6.818181818181818,5.0,15.0,22
fo_counters,off,stage2,60,7.954545454545454,5.0,15.0,22
fo_counters,off,stage2,65,7.5,5.0,15.0,22
fo_counters,off,stage2,70,7.7272727272727275,5.0,15.0,22
fo_counters,off,stage2,75,7.045454545454546,5.0,15.0,22
fo_counters,off,stage2,80,6.818181818181818,5.0,15.0,22
fo_counters,off,stage2,85,7.7272727272727275,5.0,15.0,22
fo_counters,off,stage2,90,6.818181818181818,5.0,10.0,22
fo_counters,off,stage2,95,7.5,5.0,15.0,22
fo_counters,off,stage2,99,7.954545454545454,5.0,20.0,22
fo_counters,on,stage1,5,9.5,5.0,15.0,10
fo_counters,on,stage1,10,16.0,5.0,25.0,10
fo_counters,on,stage1,11,20.0,20.0,20.0,1
fo_counters,on,stage1,15,13.5,5.0,25.0,10
fo_counters,on,stage1,20,16.0,10.0,20.0,10
fo_counters,on,stage1,23,10.0,10.0,10.0,1
fo_counters,on,stage1,25,15.0,10.0,20.0,10
fo_counters,on,stage1,30,16.0,5.0,25.0,10
fo_counters,on,stage1,34,15.0,15.0,15.0,1
fo_counters,on,stage1,35,14.0,5.0,20.0,10
fo_counters,on,stage1,40,15.0,5.0,25.0,10
fo_counters,on,stage1,42,25.0,25.0,25.0,1
fo_counters,on,stage1,45,15.0,5.0,30.0,10
fo_counters,on,stage1,50,17.5,5.0,25.0,10
fo_counters,on,stage1,51,15.0,15.0,15.0,1
fo_counters,on,stage1,55,15.5,10.0,20.0,10
fo_counters,on,stage1,58,10.0,10.0,10.0,1
fo_counters,on,stage1,60,16.5,10.0,20.0,10
