arm,value_head,seed,job_id,instance_number,instance,runtime_seconds,steps,source_log
fixed_top20,on,1239739722,20430052,15,problem_8_1_2.pddl,95.94,56,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt
fixed_top20,on,1472491096,20430053,1,problem_1_1_2.pddl,37.98,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,2,problem_1_1_4.pddl,39.27,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,3,problem_1_8_1.pddl,43.30,35,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,7,problem_2_9_1.pddl,69.38,68,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,8,problem_3_3_4.pddl,295.26,178,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,11,problem_5_2_2.pddl,128.69,78,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,9,problem_4_2_5.pddl,691.11,294,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,13,problem_6_8_1.pddl,810.78,238,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,15,problem_8_1_2.pddl,125.33,89,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,16,problem_8_1_4.pddl,442.68,209,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
fixed_top20,on,1472491096,20430053,17,problem_8_1_5.pddl,808.43,277,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
pw_kmin3,off,534933607,20684751,1,problem_1_1_2.pddl,53.65,4,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,2,problem_1_1_4.pddl,54.21,10,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,3,problem_1_8_1.pddl,58.96,23,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,7,problem_2_9_1.pddl,82.65,62,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,11,problem_5_2_2.pddl,104.19,110,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,12,problem_5_10_1.pddl,324.79,201,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,13,problem_6_8_1.pddl,286.46,182,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,15,problem_8_1_2.pddl,102.94,50,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,16,problem_8_1_4.pddl,156.33,114,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,17,problem_8_1_5.pddl,202.94,132,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,534933607,20684751,18,problem_8_7_1.pddl,593.53,227,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,1073581256,20684748,1,problem_1_1_2.pddl,42.01,4,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684748_pw-safe-drone-off-1073581256-safe_pw_kmin3_ext.txt
pw_kmin3,off,1073581256,20684748,2,problem_1_1_4.pddl,43.01,10,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684748_pw-safe-drone-off-1073581256-safe_pw_kmin3_ext.txt
