evaluation_job_id,source_training_job_id,domain,value_head,seed,epoch,successes,total,source_evaluation_log
20424683,20401184,block_grouping,on,1510771779,45,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424683_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0045.txt
20424684,20401184,block_grouping,on,1510771779,50,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424684_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0050.txt
20424685,20401184,block_grouping,on,1510771779,55,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424685_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0055.txt
20424686,20401184,block_grouping,on,1510771779,60,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424686_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0060.txt
20424687,20401184,block_grouping,on,1510771779,65,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424687_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0065.txt
20424688,20401184,block_grouping,on,1510771779,70,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424688_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0070.txt
20424690,20401184,block_grouping,on,1510771779,75,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424690_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0075.txt
20424693,20401184,block_grouping,on,1510771779,80,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424693_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0080.txt
20424695,20401184,block_grouping,on,1510771779,85,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424695_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0085.txt
20424698,20401184,block_grouping,on,1510771779,90,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424698_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0090.txt
20424700,20401184,block_grouping,on,1510771779,95,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424700_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0095.txt
20424703,20401184,block_grouping,on,1510771779,100,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424703_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0100.txt
