lineage_index,domain,seed,total,starting_policy,legacy_epoch0,deterministic_epoch0,det_minus_legacy,reuse_status,source_checkpoint,source_checkpoint_sha256,source_policy_job_id
37,rover,1972442430,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633180/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-72aea46/snapshots/snapshot_235_0.500",82e43121d2bb448cb33c58f502ad66085ccd32b7ca6beb7ac24f31988debd52a,20450954
38,rover,2011206605,20,4,3,4,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854160/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_44_0.625",1626c4c82ba85bdb62859003795ab3a3989187b684a6ecd563f5f82912c709eb,20428091
39,rover,2082152039,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633221/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_21_0.250",dad92b1859d03ee21941c33c427d2be4120ebdb04a3e55131abd35deb7331649,20428500
40,counters,534933607,59,59,6,35,29,reuse_verified_existing_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.114960/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_43_1.000",3771827ba9c9c1b08f06cd579516631069ad903e0fe0aa6cf29d9c5c5a4a0a72,20429101
41,counters,923500475,59,59,37,33,-4,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094323/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_12_1.000",47fd2e681e8acd26cba219b052259f30ae5a18bf3207f1d45918a2c55d2ef5f0,20429173
42,counters,1073581256,59,59,59,56,-3,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.106124/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_3_1.000",68e714839de28b8ebeb8e90f0801199f59f3895bd7f03ec85c2596f7f0aecb43,20428778
43,counters,1239739722,59,17,15,14,-1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.097949/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_5_1.000",9cc68ea5b1ee2a3ccc6951dbb1f1d81489e4b3dbd8c66258bd7c11bbd65d3506,20428780
44,counters,1472491096,59,38,41,45,4,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.101726/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_20_1.000",fd6192e2a587acbe4ac9387d34424755f0f611b39cb29f0ab5325e4290874af3,20428811
45,counters,1510771779,59,10,2,4,2,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094320/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_1_0.000",9fad6b0b3a6b824c5f1b07da51e2b64a7f1cc5f7ccfd6c24e3464baa1773c2a3,20429156
46,counters,1963100312,59,17,5,20,15,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.096138/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_101_1.000",926212c5043c13ae2b4fc53c5a93639fa258a22da8f9b29132a54394224a9dbd,20428710
47,counters,1972442430,59,12,13,12,-1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094310/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-72aea46/snapshots/snapshot_53_1.000",85f603943307e75b6d5843d128b058807723dc934ff53447e395d2db7354bd9a,20429194
48,counters,2011206605,59,19,28,24,-4,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.112993/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_37_1.000",4fd0df389142c595c02e53115a06b530a48954e74773ff79ae5698fa82b8a2c8,20428752
49,counters,2082152039,59,35,59,38,-21,reuse_verified_existing_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.109794/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_12_1.000",f67076237a28e81613843986ec2e7bafb5e31782392a690d20406831c491e252,20429130
