csv_path,rows,classification,result_like,provenance_fields,provenance_status,parse_state,sha256
experiment_tracking/stage2_mcts_branch_completion_fo_node_retry3_20260904.csv,2,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,27429f51bdf18534c7158b8bb80434357522d24fff3ce7a74c374e338ea23a16
experiment_tracking/stage2_mcts_branch_completion_node_retry2_20260904.csv,1,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,a36669cc85fef50ee349764c39536ec66797db03167607e8d93a1ae2db50b945
experiment_tracking/stage2_mcts_branch_completion_node_retry_20260904.csv,9,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,ad066d14a75a022884335d87162d8c68391130e21428fc1525ff04c9a21596b0
experiment_tracking/stage2_mcts_branch_completion_node_retry_results_20260904.csv,9,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,ecb59892a514d67f9af4336d10121a6cad03ec2e28a579554161d8af75f8d9d6
experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv,18,historical_or_supporting,1,manifest_id;slurm_job_id;source_training_job_id;source_log,inline_or_pointer_present,ok,8f2a32a2ac3a4ef80d78a7383ad5ee5319c64bc0fa80ebfbe65ca79d1a2232bb
experiment_tracking/stage2_mcts_branch_coverage_20260902.csv,20,historical_or_supporting,0,job_ids_or_scope;provenance_audit,inline_or_pointer_present,ok,c12992527115fa8ee0539b104b8e3e96f50c55c3f283fecb1b4e71d3c00f0432
experiment_tracking/stage2_mcts_branch_coverage_20260904.csv,10,historical_or_supporting,0,row_level_provenance,inline_or_pointer_present,ok,8d635e7d0a9b90acacb6dbc32fc58793c46cb20eb39d46b3337c09d502919ba8
experiment_tracking/stage2_mcts_branch_coverage_20260905.csv,11,historical_or_supporting,0,row_level_provenance,inline_or_pointer_present,ok,8f183779bad18d0dfd6fbe73d8fb1e1dff300bed8551ca648b37cc85f2991300
experiment_tracking/stage2_mcts_branch_coverage_20260906.csv,10,historical_or_supporting,0,row_level_provenance,inline_or_pointer_present,ok,30ca2014c002ef829cbeac6413027ba84c1261d848ecd3b0fe03a708461259ac
experiment_tracking/stage2_mcts_branch_coverage_20260907.csv,10,historical_or_supporting,0,row_level_provenance,inline_or_pointer_present,ok,6e4c357bc65554860e8e3a2eba0b78bf26b8cf7cc13d0f0b3d25c47f1ffbb74e
experiment_tracking/stage2_mcts_branch_coverage_latest.csv,10,current_canonical,0,row_level_provenance,inline_or_pointer_present,ok,6e4c357bc65554860e8e3a2eba0b78bf26b8cf7cc13d0f0b3d25c47f1ffbb74e
experiment_tracking/stage2_mcts_counters_terminal_completion_ready_20260904.csv,20,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,345439203b6f6a1ede45fcba0a00834a7db52bad45d182c6d850d0dc5d3111b1
experiment_tracking/stage2_mcts_counters_terminal_node_retry_20260905.csv,9,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,960ef6ba58b212aee269f838f3be12dfb573902cf224a99381d1a86136520ff0
experiment_tracking/stage2_mcts_gap_decisions_20260902.csv,9,historical_or_supporting,1,comparable_whole_job_median_hours;provenance,inline_or_pointer_present,ok,f65f5dcc07f2db4b77949027ff409cd7c1282a41f13fbfb7c43e2a858204727c
experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,200,historical_or_supporting,1,source_training_job_id;policy_log;candidate_mcts_log_count;candidate_mcts_logs,inline_or_pointer_present,ok,acdccaa925aa176e0aa8b4fd77809fe055e77fb02bb7397376c04df5a5eac19c
experiment_tracking/stage2_mcts_rover_completion_approved_20260904.csv,19,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,2db7d7a97d79e171d07d15ef5399f40630861a307288dcd414adc000e880adfb
experiment_tracking/stage2_mcts_rover_late_node_retries_20260904.csv,3,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,befa7b5db4f5d364bfa3b0d7d1a6994f9d5f2fc7be71c206b01aaa4e49def30c
experiment_tracking/stage2_mcts_rover_node_retries_20260904.csv,10,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,4016653562bff959e8e1368a847b5ba7477d128eac8b7461cbf7c58cc3cd93ce
experiment_tracking/stage2_mcts_rover_node_retry2_20260904.csv,7,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,c82e3048039a129de2b978cce06b7730b8de1fb59192be3cc34455ebd31478ca
experiment_tracking/stage2_policy_controllers_20260831.csv,8,historical_or_supporting,0,controller_job_id;resources,inline_or_pointer_present,ok,de5a6a32a4589eaa4dba63d36f7b002fc26bad0d18125a3f07ec183188a7e2de
experiment_tracking/stage2_policy_mcts_all_cutoff_statistics_latest.csv,18,current_canonical,1,row_level_provenance,inline_or_pointer_present,ok,956ae1ec2b5b7bd83b835c65bf0c55bc3b73cee46615f53d33d3df2aedf3d3c9
experiment_tracking/stage2_policy_mcts_comparison_20260901.csv,10,historical_or_supporting,1,,legacy_gap_not_primary,ok,db40d00c77ec101d98d54c44b2976e1f6c3a5438de4ec95bb2b22165ea682fad
experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260902.csv,12,historical_or_supporting,1,,legacy_gap_not_primary,ok,fc44cfc4eb9301251ef39a97e81723fd84c4364d028f7d06523393d44eac676a
experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260905.csv,20,historical_or_supporting,1,row_level_provenance,inline_or_pointer_present,ok,33217fbc8096cdb5eefcd69c2c89f901b03ab75816ee32889fe91369ae412129
experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260906.csv,20,historical_or_supporting,1,row_level_provenance,inline_or_pointer_present,ok,ed8d6c0e3f08e145d2d1c5d78f30674bce1ef751a40a18701d3d52509624a6bb
experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv,20,historical_or_supporting,1,row_level_provenance,inline_or_pointer_present,ok,a8e98801d1c88770caf92c2da16cdd4fb04c899806817529e133a3f378a36117
experiment_tracking/stage2_policy_mcts_comparison_by_branch_latest.csv,20,current_canonical,1,row_level_provenance,inline_or_pointer_present,ok,a325994b644ecbf7140d3e3321b08840d1d09f7132ba222ff8dcbc87401f5cc8
experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,180,current_canonical,1,mcts_job_id;source_policy_log;source_mcts_log;source_completion_ledger,inline_or_pointer_present,ok,07b132943f1de3f939097ba8bc8b3591ad0bc34b35663c63358a6920b7dd029e
experiment_tracking/tpp_catastrophic_mcts/manifest_20260907.csv,5,historical_or_supporting,1,manifest_id;source_training_job_id;source_checkpoint;training_log;policy_log,inline_or_pointer_present,ok,cc84d1f5de4bad85ebf3e08ce1b0592e1a94e261f95fc0ee9a1b388b576cf890
experiment_tracking/tpp_catastrophic_mcts/submissions_20260907.csv,4,historical_or_supporting,0,job_id;checkpoint;training_job;training_log;policy_job;policy_log;evaluation_log,inline_or_pointer_present,ok,4db5998483e7645ca98a48422610829b1163488a2818112c1a28af6a8c620115
experiment_tracking/tpp_stage2_vh_off_regression_audit_20260902.csv,1,historical_or_supporting,1,stage1_eval_job;stage2_training_job;stage2_eval_job;stage1_eval_log;stage2_training_log;stage2_eval_log,inline_or_pointer_present,ok,30324be89fa8411cb5db9f9f442df879e9d9497802352f34f3268c8df9687c73
