snapshot_time,experiment_id,job_id,state,reason,elapsed,time_limit,cpus,memory,array_tasks,job_name
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763728,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0085
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763727,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0080
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763726,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0075
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763725,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0070
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763724,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0065
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763723,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0060
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763722,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0055
2026-08-31T13:03:22+03:00,LONG-DRONE-POLICY,20769235,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_drone_drone_mcts_orig_vh_c.1_s534933607_K0_SR10LONGP_src20451695_e0243
2026-08-31T13:03:22+03:00,MPRIME-ANCHOR-CORRECTED-VAL,20768884_[0],PENDING,QOSMaxMemoryPerUser,0:00,1-00:00:00,6,20G,1,MPRIME_ANCHOR_VAL_V1
2026-08-31T13:03:22+03:00,MCTS-WIDTH-COUNTERS-S2-VAL,20768681,PENDING,QOSMaxMemoryPerUser,0:00,1:00:00,2,8G,1,COUNTERS_NARROW_POSTHOC_VAL
2026-08-31T13:03:22+03:00,MCTS-WIDTH-COUNTERS-S2-VAL,20768680,PENDING,QOSMaxMemoryPerUser,0:00,1:00:00,2,8G,1,COUNTERS_NARROW_POSTHOC_VAL
2026-08-31T13:03:22+03:00,MCTS-WIDTH-COUNTERS-S2-VAL,20768679,PENDING,QOSMaxMemoryPerUser,0:00,1:00:00,2,8G,1,COUNTERS_NARROW_POSTHOC_VAL
2026-08-31T13:03:22+03:00,MCTS-DETERMINISM-AUDIT,20771362,PENDING,QOSMaxMemoryPerUser,0:00,2:00:00,2,20G,1,MCTS_DET_deterministic_cpu_3
2026-08-31T13:03:22+03:00,MCTS-DETERMINISM-AUDIT,20771361,PENDING,QOSMaxMemoryPerUser,0:00,2:00:00,2,20G,1,MCTS_DET_deterministic_cpu_2
2026-08-31T13:03:22+03:00,MCTS-DETERMINISM-AUDIT,20771360,PENDING,QOSMaxMemoryPerUser,0:00,2:00:00,2,20G,1,MCTS_DET_deterministic_cpu_1
2026-08-31T13:03:22+03:00,MCTS-DETERMINISM-AUDIT,20771359,PENDING,QOSMaxMemoryPerUser,0:00,2:00:00,2,20G,1,MCTS_DET_ordinary_3
2026-08-31T13:03:22+03:00,MCTS-DETERMINISM-AUDIT,20771358,PENDING,QOSMaxMemoryPerUser,0:00,2:00:00,2,20G,1,MCTS_DET_ordinary_2
2026-08-31T13:03:22+03:00,MCTS-DETERMINISM-AUDIT,20771357,PENDING,QOSMaxMemoryPerUser,0:00,2:00:00,2,20G,1,MCTS_DET_ordinary_1
2026-08-31T13:03:22+03:00,MPRIME-ANCHOR-CORRECTED-VAL,20768902_[0-27],PENDING,Dependency,0:00,1-00:00:00,6,20G,28,MPRIME_ANCHOR_VAL_V1
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM-ZENO-POLICY-CONTROLLER,20768212,PENDING,Dependency,0:00,6:00:00,2,1G,1,P3_ZENOTRAVEL_ON_POLICY
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM-ZENO-POLICY-CONTROLLER,20768211,PENDING,Dependency,0:00,6:00:00,2,1G,1,P3_ZENOTRAVEL_OFF_POLICY
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM-TPP-POLICY-CONTROLLER,20768210,PENDING,Dependency,0:00,6:00:00,2,1G,1,P3_TPP_ON_POLICY
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM-TPP-POLICY-CONTROLLER,20768209,PENDING,Dependency,0:00,6:00:00,2,1G,1,P3_TPP_OFF_POLICY
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM-DELIVERY-POLICY-CONTROLLER,20768208,PENDING,Dependency,0:00,6:00:00,2,1G,1,P3_DELIVERY_ON_POLICY
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM-DELIVERY-POLICY-CONTROLLER,20768207,PENDING,Dependency,0:00,6:00:00,2,1G,1,P3_DELIVERY_OFF_POLICY
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY-CONTROLLER,20743985,PENDING,Dependency,0:00,6:00:00,2,1G,1,P4_TPP_S2_POLICY_REFRESH
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME-POLICY-CONTROLLER,20760693,PENDING,JobHeldUser,0:00,6:00:00,2,1G,1,MPRIME_TERM_POLICY_CTRL
2026-08-31T13:03:22+03:00,MAIN-EXT6-MPRIME-POLICY-CONTROLLER,20760692,PENDING,JobHeldUser,0:00,6:00:00,2,1G,1,MPRIME_VAL_POLICY_CTRL
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760327,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s2082152039_K0_MPEXT6TA0_src20618732
2026-08-31T13:03:22+03:00,MAIN-TERM-EXT6-MPRIME,20760326,PENDING,JobHeldUser,0:00,3-00:00:00,6,48G,1,Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s2011206605_K0_MPEXT6TA0_src20618727
