job_id,experiment_id,stage,value_head,seed,arm,source_log,source_ledgers
20620650,,,on,2011206605,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620650_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_pw-drone-on-2011206605-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620651,,,on,2011206605,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620651_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_pw-drone-on-2011206605-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
20620656,,,on,1239739722,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620656_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_pw-drone-on-1239739722-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620657,,,on,1239739722,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620657_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_pw-drone-on-1239739722-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
20620660,,,on,1472491096,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620660_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_pw-drone-on-1472491096-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
20651244,,,off,1963100312,,/home/hersco/training_new_domains/2026-08-27/mcts_safe_drone_diagnostic/SAFE3_D_OFF_1963_20651244.out,mcts_safe_drone/targeted_results_20260828.csv
20651245,,,off,534933607,,/home/hersco/training_new_domains/2026-08-27/mcts_safe_drone_diagnostic/SAFE3_D_OFF_5349_20651245.out,mcts_safe_drone/targeted_results_20260828.csv
20651246,,,on,2011206605,,/home/hersco/training_new_domains/2026-08-27/mcts_safe_drone_diagnostic/SAFE3_D_ON_2011_20651246.out,mcts_safe_drone/targeted_results_20260828.csv
20652251,,,off,1963100312,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652251_horizon-drone-off-1963100312.txt,mcts_horizon_pilot/results.csv
20652252,,,off,2011206605,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652252_horizon-drone-off-2011206605.txt,mcts_horizon_pilot/results.csv
20652253,,,off,1073581256,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652253_horizon-drone-off-1073581256.txt,mcts_horizon_pilot/results.csv
20652254,,,off,1239739722,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652254_horizon-drone-off-1239739722.txt,mcts_horizon_pilot/results.csv
20652255,,,off,1472491096,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652255_horizon-drone-off-1472491096.txt,mcts_horizon_pilot/results.csv
20652256,,,on,1963100312,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652256_horizon-drone-on-1963100312.txt,mcts_horizon_pilot/results.csv
20652257,,,on,2011206605,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652257_horizon-drone-on-2011206605.txt,mcts_horizon_pilot/results.csv
20652258,,,on,1073581256,,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_drone/20652258_horizon-drone-on-1073581256.txt,mcts_horizon_pilot/results.csv
