manifest_id,experiment_id,domain,value_head,seed,anchor,source_training_job_id,source_epoch,source_checkpoint,status,teacher
preserve3-term-zenotravel-off-1510771779-a30,PRESERVE-3-TERM,zenotravel,off,1510771779,30,20523094,92,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:09:56.848744/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912164-17cc32a/snapshots/snapshot_92_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-1963100312-a30,PRESERVE-3-TERM,zenotravel,off,1963100312,30,20523086,58,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:26:54.514271/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912120-2fc32f3/snapshots/snapshot_58_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-1972442430-a30,PRESERVE-3-TERM,zenotravel,off,1972442430,30,20523096,93,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:13:38.207105/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912167-72aea46/snapshots/snapshot_93_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-2011206605-a30,PRESERVE-3-TERM,zenotravel,off,2011206605,30,20523088,60,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:42:52.195316/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912136-067843/snapshots/snapshot_60_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-2082152039-a30,PRESERVE-3-TERM,zenotravel,off,2082152039,30,20523093,57,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:03:50.744304/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912157-faf7d6/snapshots/snapshot_57_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-on-534933607-a0p3,PRESERVE-3-TERM,zenotravel,on,534933607,0.3,20523080,54,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T08:13:48.892928/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912047-3c74d66/snapshots/snapshot_54_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-on-923500475-a0p3,PRESERVE-3-TERM,zenotravel,on,923500475,0.3,20523084,57,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:23:08.132742/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912117-5194f74/snapshots/snapshot_57_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-on-1073581256-a0p3,PRESERVE-3-TERM,zenotravel,on,1073581256,0.3,20523072,91,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T07:30:31.749127/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912004-1247c09/snapshots/snapshot_91_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-on-1239739722-a0p3,PRESERVE-3-TERM,zenotravel,on,1239739722,0.3,20523074,57,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T07:44:03.276017/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912018-7d9a779/snapshots/snapshot_57_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-on-1472491096-a0p3,PRESERVE-3-TERM,zenotravel,on,1472491096,0.3,20523077,110,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T08:08:17.748467/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912042-43e0a7a/snapshots/snapshot_110_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-on-1510771779-a0p3,PRESERVE-3-TERM,zenotravel,on,1510771779,0.3,20523083,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:20:20.149184/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912114-17cc32a/snapshots/snapshot_55_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-on-1963100312-a0p3,PRESERVE-3-TERM,zenotravel,on,1963100312,0.3,20523066,54,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T07:18:54.934962/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911993-2fc32f3/snapshots/snapshot_54_0.500",ready,hadd-gbfs
