domain,value_head,seed,training_job_id,training_log,log_exists,policy_gradient_l2,weighted_anchor_gradient_l2,policy_anchor_gradient_cosine,decomposed_anchor_gradient_available,classification
fo_counters,on,2011206605,20430378,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430378_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10T_src20401219_e0051.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,2082152039,20430383,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430383_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10T_src20401224_e0023.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,534933607,20430382,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430382_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10T_src20401223_e0058.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,923500475,20430385,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430385_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10T_src20401226_e0034.txt,true,false,false,false,false,decomposition_unavailable
rover,off,1073581256,20430409,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430409_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10T_src20401250_e0040.txt,true,false,false,false,false,decomposition_unavailable
rover,off,1239739722,20430410,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430410_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10T_src20401251_e0053.txt,true,false,false,false,false,decomposition_unavailable
rover,off,1472491096,20430411,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430411_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10T_src20401252_e0064.txt,true,false,false,false,false,decomposition_unavailable
rover,off,1510771779,20430414,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430414_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10T_src20401255_e0048.txt,true,false,false,false,false,decomposition_unavailable
rover,off,1963100312,20430407,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430407_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10T_src20401248_e0025.txt,true,false,false,false,false,decomposition_unavailable
rover,off,1972442430,20451804,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451804_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10T_src20401257_e0235.txt,true,false,false,false,false,decomposition_unavailable
rover,off,2011206605,20430408,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430408_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10T_src20401249_e0044.txt,true,false,false,false,false,decomposition_unavailable
rover,off,2082152039,20430413,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430413_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10T_src20401254_e0021.txt,true,false,false,false,false,decomposition_unavailable
rover,off,534933607,20430412,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430412_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10T_src20401253_e0124.txt,true,false,false,false,false,decomposition_unavailable
rover,off,923500475,20430415,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430415_Re-Tr_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10T_src20401256_e0020.txt,true,false,false,false,false,decomposition_unavailable
